# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2499
#@/user_id	1994
a 	啊	c=3 d=0.30419 t=2499
an 	安	c=2 d=1.97045 t=1651
an 	按	c=2 d=1.89137 t=1201
an quan 	安全	c=2 d=1.96561 t=1488
an zhao 	按照	c=1 d=0.18961 t=2499
ba 	吧	c=6 d=2.72952 t=2499
ba 	把	c=16 d=2.18487 t=2499
bai du 	百度	c=1 d=1 t=1141
ban ben 	版本	c=11 d=2.17717 t=2499
ban jiao 	半角	c=2 d=0.826959 t=2499
ban nian 	半年	c=1 d=1 t=1985
bang 	邦	c=0 d=0.1 t=2154
bang mang 	幫忙	c=0 d=0.0612626 t=2499
bang wo 	幫我	c=0 d=0.1 t=1498
bang wo ba 	幫我把	c=1 d=1 t=1499
bao 	包	c=5 d=0.441898 t=2499
bao bei 	寶貝	c=1 d=1 t=1447
bao cun 	保存	c=1 d=1 t=1219
bao cuo 	報錯	c=0 d=0.1 t=1866
bao han 	包含	c=4 d=1.99049 t=1704
bao ming 	包名	c=2 d=1.24537 t=2421
bao zheng 	保證	c=2 d=0.473007 t=2499
bei 	被	c=1 d=1 t=1850
bei jing shi 	北京市	c=1 d=0.0130365 t=2499
bei piao 	北漂	c=1 d=0.790571 t=2499
ben di 	本地	c=2 d=0.0808629 t=2499
ben shen 	本身	c=1 d=0.0520787 t=2499
bi jiao 	比較	c=4 d=0.470011 t=2499
bi ru 	比如	c=1 d=0.0340475 t=2499
bi xu 	必須	c=1 d=0.70822 t=2499
bi ye 	畢業	c=1 d=1.1847 t=1994
bi ye zhi hou 	畢業之後	c=1 d=1 t=1984
bi ye zhuang 	畢業裝	c=2 d=1.97531 t=2000
bian cheng 	變成	c=1 d=1 t=1998
bian geng 	變更	c=1 d=1 t=1459
bian yi 	編譯	c=8 d=0.297246 t=2499
bian yi shi 	編譯時	c=1 d=1 t=1896
bian yi yi ge 	編譯一個	c=1 d=0.0175975 t=2499
bie 	別	c=1 d=0.106459 t=2499
bie ren de 	別人的	c=0 d=0.110076 t=1760
bu 	不	c=3 d=0.0889251 t=2499
bu bao cuo 	不報錯	c=1 d=1 t=1867
bu bao han 	不包含	c=2 d=1.89583 t=1685
bu cun zai 	不存在	c=3 d=1.51358 t=1866
bu dai 	不帶	c=2 d=0.641377 t=2499
bu dao 	不到	c=1 d=1 t=1360
bu dou shi 	不都是	c=1 d=0.0199405 t=2499
bu dui 	不對	c=1 d=1 t=1046
bu fu he 	不符合	c=0 d=0.0148823 t=2499
bu fu he yu qi 	不符合預期	c=1 d=0.149569 t=2499
bu guan 	不管	c=0 d=0.00141223 t=2499
bu guan 	不關	c=0 d=0.00236356 t=2499
bu guan de hua 	不關的話	c=1 d=0.0237541 t=2499
bu guo 	不過	c=5 d=1.85763 t=2292
bu hao 	不好	c=1 d=1 t=1513
bu hui 	不會	c=2 d=0.267135 t=2499
bu jin qu 	不進去	c=0 d=0.00731678 t=2499
bu kai 	不開	c=1 d=0.644036 t=2499
bu kan 	不看	c=0 d=0.1 t=2003
bu ke yong 	不可用	c=0 d=0.1956 t=2472
bu ke yong ma 	不可用嗎	c=1 d=1 t=2464
bu lai 	不來	c=0 d=0.1 t=2046
bu liao jie 	不瞭解	c=1 d=0.0620385 t=2499
bu mai 	不賣	c=0 d=0.1 t=1211
bu neng 	不能	c=2 d=1.02055 t=2366
bu pai chu 	不排除	c=1 d=0.044601 t=2499
bu pei 	不配	c=0 d=0.00407622 t=2499
bu pei de hua 	不配的話	c=1 d=0.0409665 t=2499
bu qing chu 	不清楚	c=1 d=0.212248 t=2499
bu quan 	補全	c=1 d=0.0374406 t=2499
bu ran 	不然	c=1 d=0.121238 t=2499
bu ren shi 	不認識	c=1 d=1 t=2071
bu shi 	不是	c=3 d=1.00371 t=2459
bu shi yong 	不適用	c=1 d=1 t=2457
bu shuo 	不說	c=1 d=1 t=1475
bu tai 	不太	c=0 d=0.0126459 t=2499
bu tai kao ping 	不太考評	c=1 d=0.066205 t=2499
bu tai liao jie 	不太瞭解	c=2 d=0.0364083 t=2499
bu tai que ding 	不太確定	c=1 d=0.0461896 t=2499
bu tong 	不同	c=1 d=1 t=2141
bu tong dian 	不同點	c=1 d=1 t=2144
bu xing 	不行	c=1 d=0.0441581 t=2499
