# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2592
#@/user_id	mac
a 	啊	c=3 d=0.191072 t=2592
an 	安	c=2 d=1.97045 t=2592
an 	按	c=2 d=1.89137 t=2592
an quan 	安全	c=2 d=1.96561 t=2592
an zhao 	按照	c=1 d=0.18961 t=2592
ao mei 	奧美	c=1 d=0.97531 t=2592
ba 	吧	c=6 d=1.71451 t=2592
ba 	把	c=16 d=2.18487 t=2592
bai du 	百度	c=1 d=1 t=2592
ban ben 	版本	c=11 d=1.36756 t=2592
ban jiao 	半角	c=2 d=0.826959 t=2592
ban ke 	半顆	c=1 d=0.900325 t=2592
ban nian 	半年	c=1 d=1 t=2592
bang 	邦	c=0 d=0.1 t=2592
bang mang 	幫忙	c=0 d=0.0612626 t=2592
bang wo 	幫我	c=0 d=0.1 t=2592
bang wo ba 	幫我把	c=1 d=1 t=2592
bao 	包	c=5 d=0.277572 t=2592
bao bei 	寶貝	c=1 d=1 t=2592
bao cun 	保存	c=1 d=1 t=2592
bao cuo 	報錯	c=0 d=0.1 t=2592
bao han 	包含	c=4 d=1.99049 t=2592
bao ming 	包名	c=2 d=1.24537 t=2592
bao zheng 	保證	c=2 d=0.473007 t=2592
bei 	被	c=1 d=1 t=2592
bei jing shi 	北京市	c=1 d=0.0130365 t=2592
bei piao 	北漂	c=1 d=0.790571 t=2592
ben di 	本地	c=2 d=0.0808629 t=2592
ben shen 	本身	c=1 d=0.0520787 t=2592
bi jiao 	比較	c=4 d=0.470011 t=2592
bi ru 	比如	c=2 d=0.736727 t=2592
bi xu 	必須	c=1 d=0.70822 t=2592
bi ye 	畢業	c=1 d=1.1847 t=2592
bi ye zhi hou 	畢業之後	c=1 d=1 t=2592
bi ye zhuang 	畢業裝	c=2 d=1.97531 t=2592
bian cheng 	變成	c=1 d=1 t=2592
bian geng 	變更	c=1 d=1 t=2592
bian yi 	編譯	c=8 d=0.186711 t=2592
bian yi shi 	編譯時	c=1 d=1 t=2592
bian yi yi ge 	編譯一個	c=1 d=0.0175975 t=2592
bie 	別	c=1 d=0.145928 t=2592
bie de qu le 	別的去了	c=1 d=0.794534 t=2592
bie ren de 	別人的	c=0 d=0.110076 t=2592
bu 	不	c=3 d=0.0889251 t=2592
bu bao cuo 	不報錯	c=1 d=1 t=2592
bu bao han 	不包含	c=2 d=1.89583 t=2592
bu cun zai 	不存在	c=3 d=1.51358 t=2592
bu dai 	不帶	c=2 d=0.641377 t=2592
bu dao 	不到	c=1 d=1 t=2592
bu dong 	不懂	c=1 d=1 t=2592
bu dou shi 	不都是	c=1 d=0.0199405 t=2592
bu dui 	不對	c=1 d=1 t=2592
bu fu he 	不符合	c=0 d=0.0148823 t=2592
bu fu he yu qi 	不符合預期	c=1 d=0.149569 t=2592
bu guan 	不管	c=0 d=0.00141223 t=2592
bu guan 	不關	c=0 d=0.00236356 t=2592
bu guan de hua 	不關的話	c=1 d=0.0237541 t=2592
bu guo 	不過	c=5 d=1.85763 t=2592
bu hao 	不好	c=1 d=1 t=2592
bu hui 	不會	c=2 d=0.267135 t=2592
bu jin qu 	不進去	c=0 d=0.00731678 t=2592
bu kai 	不開	c=1 d=0.644036 t=2592
bu kan 	不看	c=0 d=0.1 t=2592
bu ke yong 	不可用	c=0 d=0.1956 t=2592
bu ke yong ma 	不可用嗎	c=1 d=1 t=2592
bu lai 	不來	c=0 d=0.1 t=2592
bu liao jie 	不瞭解	c=1 d=0.0620385 t=2592
bu mai 	不賣	c=0 d=0.1 t=2592
bu neng 	不能	c=2 d=1.02055 t=2592
bu pai chu 	不排除	c=1 d=0.044601 t=2592
bu pei 	不配	c=0 d=0.00407622 t=2592
bu pei de hua 	不配的話	c=1 d=0.0409665 t=2592
bu qing chu 	不清楚	c=1 d=0.212248 t=2592
bu quan 	補全	c=1 d=0.0374406 t=2592
bu ran 	不然	c=1 d=0.121238 t=2592
bu ren shi 	不認識	c=1 d=1 t=2592
bu shi 	不是	c=3 d=1.00371 t=2592
bu shi yong 	不適用	c=1 d=1 t=2592
bu shuo 	不說	c=1 d=1 t=2592
bu tai 	不太	c=0 d=0.0126459 t=2592
bu tai kao ping 	不太考評	c=1 d=0.066205 t=2592
bu tai liao jie 	不太瞭解	c=2 d=0.0364083 t=2592
bu tai que ding 	不太確定	c=1 d=0.0461896 t=2592
bu tong 	不同	c=1 d=1 t=2592
bu tong dian 	不同點	c=1 d=1 t=2592
bu xing 	不行	c=1 d=0.0277373 t=2592
bu xing ba 	不行吧	c=1 d=0.0157644 t=2592
bu xing le 	不行了	c=0 d=0.1 t=2592
bu xu yao 	不需要	c=1 d=0.0200405 t=2592
bu yi ding 	不一定	c=1 d=1 t=2592
bu yi zhi 	不一致	c=1 d=1 t=2592
bu zheng chang 	不正常	c=1 d=0.0925506 t=2592
bu zhi dao 	不知道	c=5 d=1.21301 t=2592
bu zhu 	不住	c=0 d=0.1 t=2592
cai hui 	纔會	c=1 d=1 t=2592
cai zuo 	才做	c=1 d=1 t=2592
can shu 	參數	c=9 d=0.546074 t=2592
cang ku 	倉庫	c=1 d=1 t=2592
cao zuo 	操作	c=2 d=0.0469013 t=2592
cao zuo yi xia 	操作一下	c=1 d=0.0338776 t=2592
ce 	測	c=1 d=0.324652 t=2592
ce shi 	測試	c=5 d=2.80832 t=2592
ceng 	層	c=3 d=1.76725 t=2592
